CSV,Comma Separated Values (CSV),http://en.wikipedia.org/wiki/Comma-separated_values
TSV,Tab Separated Values (TSV),http://en.wikipedia.org/wiki/Tab-separated_values
HTML,HyperText Markup Language (HTML),http://en.wikipedia.org/wiki/HTML
SGML,Standard Generalized Markup Language (SGML),http://en.wikipedia.org/wiki/Standard_Generalized_Markup_Language
XML,eXtensible Markup Language (XML),http://en.wikipedia.org/wiki/XML
JSON,JavaScript Object Notation,http://json.org/
PDF,Portable Document Format (PDF),http://en.wikipedia.org/wiki/Portable_Document_Format
XLS,Microsoft Excel (XLS),http://en.wikipedia.org/wiki/Microsoft_Excel
